['228', '1', '2', '3', '7', '1', '0', '9', '3', '0', '0', '0', '3', '5', '0', '7', '5', '8']
['239', '3', '2', '3', '8', '0', '0', '8', '4', '0', '0', '0', '1', '5', '0', '7', '5', '8']
['242', '2', '2', '2', '6', '0', '0', '7', '3', '0', '0', '0', '0', '5', '0', '8', '5', '7']
['244', '1', '2', '1', '5', '0', '1', '9', '2', '0', '0', '0', '1', '6', '0', '8', '5', '8']
['245', '2', '2', '2', '7', '0', '0', '9', '4', '0', '0', '0', '0', '5', '0', '9', '5', '8']
['246', '3', '2', '2', '6', '0', '0', '8', '3', '0', '0', '0', '0', '4', '0', '8', '5', '7']
['246', '1', '2', '2', '6', '0', '0', '8', '3', '0', '0', '0', '0', '5', '0', '7', '5', '7']
['245', '2', '2', '2', '6', '0', '0', '10', '3', '0', '0', '0', '0', '5', '0', '8', '4', '8']
['245', '2', '2', '2', '5', '0', '1', '8', '3', '0', '0', '0', '1', '5', '0', '8', '5', '7']
['244', '3', '2', '2', '7', '0', '0', '8', '4', '0', '0', '0', '0', '5', '0', '1', '3', '8']
['245', '2', '2', '3', '7', '1', '1', '8', '3', '0', '0', '0', '1', '6', '0', '1', '3', '8']
['244', '2', '2', '2', '6', '0', '0', '8', '4', '0', '0', '0', '0', '5', '0', '1', '3', '8']
['245', '1', '1', '1', '6', '1', '0', '9', '2', '0', '1', '0', '0', '5', '0', '1', '3', '8']
['245', '0', '1', '2', '5', '0', '0', '8', '3', '0', '0', '0', '2', '6', '0', '1', '3', '7']
['244', '0', '2', '2', '6', '0', '2', '7', '3', '0', '0', '0', '0', '5', '0', '1', '3', '7']
['244', '1', '1', '3', '8', '0', '0', '8', '3', '0', '2', '0', '0', '6', '0', '1', '3', '8']
['244', '1', '1', '2', '6', '1', '0', '8', '3', '0', '0', '0', '0', '5', '0', '1', '3', '8']
['245', '0', '2', '2', '6', '0', '0', '7', '3', '0', '0', '0', '0', '5', '0', '1', '3', '8']
['245', '1', '2', '1', '6', '0', '3', '9', '3', '18', '7', '6', '1', '5', '0', '7', '5', '7']
['245', '1', '1', '1', '5', '0', '3', '9', '4', '19', '7', '7', '2', '6', '0', '8', '5', '7']
['246', '2', '2', '3', '7', '0', '2', '9', '4', '19', '7', '7', '1', '6', '0', '8', '5', '7']
['246', '1', '2', '2', '8', '1', '3', '9', '2', '18', '7', '7', '0', '5', '0', '8', '4', '7']
['245', '0', '2', '2', '6', '0', '6', '7', '2', '17', '7', '7', '1', '1', '0', '8', '4', '8']
['244', '198', '2', '4', '10', '3', '4', '5', '4', '20', '78', '57', '2', '2', '0', '1', '34', '7']
['245', '208', '4', '2', '7', '1', '4', '5', '5', '0', '0', '0', '4', '3', '0', '1', '4', '7']
['245', '231', '3', '3', '8', '0', '4', '3', '1', '0', '0', '0', '3', '3', '0', '1', '5', '7']
['241', '234', '5', '4', '10', '0', '7', '6', '3', '0', '1', '0', '3', '4', '0', '8', '4', '7']
['228', '235', '4', '3', '8', '2', '5', '7', '2', '0', '0', '0', '2', '3', '0', '1', '3', '8']
['207', '235', '4', '2', '6', '0', '3', '4', '3', '0', '0', '0', '0', '1', '0', '1', '3', '6']
['18', '237', '5', '2', '6', '0', '0', '8', '3', '0', '0', '0', '0', '2', '0', '1', '3', '7']
['20', '238', '5', '2', '6', '0', '0', '11', '2', '0', '0', '0', '0', '2', '0', '8', '5', '7']
['19', '238', '5', '3', '6', '1', '0', '10', '3', '1', '2', '0', '0', '1', '0', '7', '5', '7']
['18', '238', '5', '2', '6', '1', '1', '11', '3', '0', '0', '0', '0', '2', '0', '8', '4', '7']
['20', '237', '5', '2', '6', '1', '0', '12', '3', '0', '1', '1', '0', '0', '0', '8', '5', '7']
['15', '238', '5', '2', '7', '0', '0', '9', '3', '0', '0', '0', '0', '3', '0', '1', '3', '8']
['15', '238', '5', '2', '6', '0', '0', '10', '2', '0', '0', '0', '0', '4', '0', '8', '5', '7']
['17', '238', '5', '3', '7', '0', '0', '9', '4', '0', '0', '0', '0', '2', '2', '1', '3', '7']
['13', '237', '171', '3', '7', '1', '0', '6', '5', '0', '1', '0', '0', '0', '0', '1', '3', '8']
['9', '236', '186', '3', '6', '1', '1', '8', '7', '15', '78', '57', '0', '1', '0', '6', '3', '7']
['10', '232', '222', '3', '11', '5', '0', '8', '8', '17', '75', '55', '0', '0', '0', '15', '2', '6']
['13', '228', '226', '1', '5', '0', '0', '8', '7', '0', '0', '0', '0', '0', '0', '15', '0', '6']
['15', '207', '228', '1', '4', '0', '0', '9', '7', '0', '0', '0', '0', '0', '1', '15', '0', '6']
['14', '176', '231', '1', '6', '0', '0', '9', '9', '0', '1', '0', '0', '0', '0', '14', '0', '6']
['15', '11', '232', '1', '6', '1', '0', '9', '5', '0', '0', '0', '0', '0', '0', '14', '3', '7']
['14', '11', '233', '2', '5', '0', '0', '9', '4', '0', '0', '0', '0', '0', '0', '15', '3', '6']
['12', '7', '232', '1', '5', '0', '0', '9', '3', '0', '0', '0', '0', '0', '0', '13', '3', '6']
['8', '7', '232', '1', '5', '0', '0', '9', '5', '0', '0', '0', '0', '0', '1', '14', '3', '7']
['9', '6', '232', '2', '5', '0', '0', '10', '6', '0', '0', '0', '0', '0', '0', '15', '1', '6']
['10', '7', '233', '3', '5', '0', '0', '8', '5', '0', '0', '0', '0', '0', '0', '15', '1', '7']
['10', '6', '233', '1', '5', '0', '0', '9', '5', '0', '0', '0', '0', '0', '0', '14', '1', '7']
