['8', '2', '2', '1', '3', '0', '3', '12', '0', '17', '0', '0', '0', '0', '0', '1', '0', '8']
['6', '3', '3', '2', '5', '0', '3', '11', '1', '16', '0', '0', '0', '0', '0', '1', '0', '9']
['7', '2', '2', '2', '6', '1', '3', '11', '0', '16', '0', '0', '0', '1', '0', '0', '0', '8']
['8', '3', '2', '1', '4', '0', '3', '11', '0', '15', '0', '0', '0', '0', '0', '0', '0', '8']
['7', '2', '2', '1', '4', '0', '3', '11', '0', '15', '0', '0', '0', '1', '0', '0', '0', '8']
['7', '3', '2', '1', '3', '0', '4', '11', '0', '16', '0', '0', '0', '0', '0', '0', '0', '8']
['7', '2', '2', '1', '5', '0', '3', '11', '0', '16', '0', '0', '0', '0', '0', '1', '0', '9']
['8', '3', '2', '2', '5', '0', '2', '12', '0', '16', '0', '0', '0', '0', '0', '0', '0', '8']
['6', '3', '3', '2', '4', '0', '3', '11', '0', '16', '0', '0', '0', '1', '0', '0', '0', '9']
['7', '3', '3', '2', '5', '1', '3', '11', '0', '16', '0', '0', '0', '1', '0', '9', '0', '8']
['7', '1', '2', '1', '3', '0', '3', '11', '0', '16', '0', '0', '0', '0', '0', '0', '0', '8']
['7', '3', '3', '2', '3', '0', '4', '12', '0', '16', '0', '0', '0', '1', '0', '1', '0', '8']
['7', '2', '2', '2', '5', '0', '3', '11', '0', '17', '0', '0', '0', '0', '0', '1', '0', '9']
['8', '3', '2', '2', '4', '0', '3', '12', '0', '17', '0', '0', '0', '0', '0', '1', '0', '8']
['8', '3', '3', '2', '4', '1', '3', '11', '0', '16', '0', '0', '0', '0', '0', '1', '0', '8']
['7', '3', '2', '2', '4', '0', '3', '11', '0', '16', '0', '0', '0', '1', '0', '1', '39', '8']
['7', '3', '2', '1', '3', '0', '3', '11', '0', '16', '0', '0', '1', '1', '0', '1', '0', '7']
['8', '2', '2', '2', '4', '0', '3', '11', '0', '17', '0', '0', '0', '0', '0', '0', '0', '8']
['7', '2', '2', '3', '6', '1', '3', '11', '0', '16', '0', '0', '0', '0', '0', '0', '39', '8']
['7', '3', '2', '1', '4', '0', '2', '11', '0', '16', '0', '0', '0', '0', '0', '0', '0', '8']
['7', '2', '2', '1', '4', '0', '3', '11', '0', '16', '0', '0', '0', '0', '0', '0', '39', '8']
['7', '2', '2', '2', '2', '0', '3', '12', '0', '15', '0', '0', '0', '0', '0', '0', '39', '8']
['7', '3', '2', '2', '3', '0', '3', '12', '0', '16', '0', '0', '0', '1', '1', '1', '39', '9']
['7', '3', '3', '2', '6', '1', '3', '11', '0', '17', '0', '0', '0', '0', '0', '1', '0', '8']
['6', '2', '3', '2', '4', '0', '3', '11', '0', '17', '0', '0', '0', '0', '0', '0', '0', '8']
['7', '3', '3', '2', '4', '0', '3', '10', '0', '16', '0', '0', '0', '0', '0', '1', '0', '8']
['7', '2', '2', '3', '1', '64', '4', '11', '0', '17', '0', '0', '0', '0', '0','0', '3', '5']
['8', '5', '1', '5', '2', '150', '4', '12', '0', '18', '0', '0', '0', '0', '0', '0', '0', '8']
['9', '5', '2', '7', '4', '171', '4', '11', '1', '18', '0', '0', '0', '0', '0', '0', '0', '8']
['8', '5', '2', '8', '1', '204', '3', '11', '0', '15', '68', '46', '0', '0', '0', '0', '9', '7']
['8', '6', '2', '7', '2', '213', '3', '11', '0', '16', '67', '49', '0', '0', '0', '9', '9', '8']
['8', '6', '2', '7', '1', '219', '3', '11', '0', '18', '68', '46', '0', '0', '0', '9', '9', '7']
['8', '5', '2', '7', '2', '222', '3', '12', '0', '17', '68', '46', '0', '1', '0', '0', '9', '6']
['9', '6', '3', '9', '1', '223', '3', '12', '0', '19', '69', '46', '0', '0', '0', '0', '9', '8']
['7', '6', '3', '10', '2', '223', '3', '11', '0', '19', '70', '49', '0', '0', '0', '9', '0', '8']
['8', '6', '3', '9', '3', '223', '4', '11', '0', '19', '69', '49', '0', '0', '0', '0', '9', '7']
['8', '5', '2', '8', '2', '223', '3', '12', '0', '20', '70', '48', '0', '0', '0', '0', '8', '6']
['8', '6', '2', '9', '1', '224', '4', '12', '0', '19', '70', '51', '0', '1', '0', '0', '8', '7']
['7', '6', '2', '9', '2', '225', '3', '11', '0', '19', '71', '51', '0', '0', '0', '0', '8', '7']
['8', '6', '2', '9', '3', '225', '4', '11', '0', '20', '71', '53', '0', '0', '0', '0', '9', '8']
