['211', '204', '8', '4', '9', '1', '197', '219', '9', '3', '7', '0', '4', '4', '0', '21', '0', '8']
['210', '207', '8', '4', '8', '1', '196', '220', '10', '3', '7', '1', '5', '6', '0', '21', '0', '8']
['206', '205', '8', '4', '8', '1', '193', '221', '9', '4', '8', '1', '4', '7', '0', '21', '0', '8']
['199', '200', '8', '4', '10', '0', '192', '222', '9', '4', '10', '1', '4', '5', '0', '21', '0', '9']
['131', '167', '7', '4', '9', '1', '178', '226', '9', '4', '9', '0', '4', '6', '0', '21', '0', '8']
['93', '131', '6', '3', '8', '1', '179', '224', '10', '3', '9', '1', '3', '5', '0', '21', '0', '7']
['2', '2', '2', '3', '5', '0', '183', '226', '8', '2', '5', '0', '4', '6', '0', '22', '0', '8']
['0', '1', '2', '2', '4', '0', '185', '226', '8', '2', '4', '0', '5', '7', '0', '21', '0', '7']
['3', '3', '2', '2', '5', '0', '187', '226', '9', '2', '7', '2', '5', '7', '0', '22', '0', '8']
['72', '101', '4', '3', '9', '1', '187', '225', '9', '4', '10', '2', '5', '7', '0', '21', '0', '9']
['120', '163', '7', '4', '9', '1', '187', '225', '9', '3', '9', '1', '3', '6', '0', '21', '0', '9']
['123', '167', '7', '4', '9', '1', '185', '226', '9', '4', '9', '0', '4', '6', '0', '21', '0', '8']
['125', '173', '7', '4', '9', '0', '182', '225', '9', '4', '9', '1', '5', '7', '0', '21', '0', '8']
['126', '174', '7', '4', '8', '1', '182', '225', '10', '5', '10', '0', '4', '7', '0', '21', '0', '9']
['179', '192', '8', '5', '10', '1', '193', '222', '9', '4', '11', '1', '5', '6', '0', '22', '0', '8']
['192', '197', '8', '4', '10', '2', '195', '221', '9', '5', '9', '1', '5', '6', '0', '22', '0', '8']
['196', '199', '8', '4', '9', '1', '195', '221', '10', '4', '9', '1', '4', '4', '0', '22', '0', '8']
['201', '201', '8', '4', '9', '0', '197', '221', '9', '4', '10', '1', '5', '5', '0', '22', '0', '8']
['205', '203', '8', '4', '7', '1', '197', '220', '9', '4', '8', '0', '6', '7', '0', '21', '0', '8']
['208', '206', '9', '5', '9', '0', '199', '220', '9', '5', '9', '1', '5', '8', '0', '22', '0', '8']
['208', '206', '8', '5', '10', '1', '199', '220', '10', '3', '10', '1', '5', '5', '0', '22', '0', '9']
['209', '206', '8', '4', '11', '1', '199', '219', '9', '5', '9', '1', '5', '6', '0', '22', '0', '8']
['209', '207', '8', '5', '10', '1', '198', '220', '9', '4', '9', '1', '5', '6', '0', '21', '0', '8']
['209', '207', '9', '4', '9', '1', '198', '220', '9', '2', '9', '1', '6', '6', '0', '21', '0', '8']
['210', '207', '8', '4', '10', '1', '198', '219', '9', '3', '8', '1', '6', '8', '0', '22', '0', '8']
['210', '208', '9', '4', '10', '1', '199', '219', '9', '4', '9', '0', '5', '6', '0', '21', '0', '8']
['210', '208', '9', '5', '12', '1', '199', '218', '9', '4', '11', '1', '5', '7', '0', '21', '0', '9']
['210', '208', '8', '5', '10', '2', '199', '218', '9', '4', '10', '0', '5', '6', '0', '21', '0', '8']
['211', '209', '8', '5', '11', '1', '199', '218', '9', '3', '8', '0', '5', '6', '0', '21', '0', '8']
['211', '209', '9', '4', '10', '0', '199', '218', '9', '4', '8', '1', '6', '7', '0', '21', '0', '8']
