['9', '1', '0', '3', '5', '1', '0', '11', '4', '0', '0', '0', '0', '1', '0', '17', '0', '9']
['9', '1', '0', '2', '4', '1', '0', '11', '4', '0', '0', '0', '0', '1', '0', '26', '86', '190']
['10', '1', '0', '2', '4', '1', '1', '11', '4', '0', '0', '0', '1', '1', '0', '26', '86', '192']
['9', '2', '0', '2', '4', '0', '1', '10', '4', '0', '0', '0', '0', '1', '0', '26', '86', '194']
['9', '1', '0', '2', '6', '2', '0', '11', '4', '0', '1', '0', '1', '1', '0', '26', '86', '196']
['9', '1', '0', '2', '5', '3', '0', '11', '4', '0', '0', '0', '1', '1', '0', '23', '65', '203']
['9', '0', '0', '1', '4', '0', '0', '10', '4', '0', '0', '0', '0', '1', '0', '22', '62', '205']
['9', '1', '0', '1', '3', '1', '0', '12', '3', '0', '0', '0', '2', '2', '0', '25', '205', '206']
['9', '1', '0', '2', '2', '1', '0', '11', '3', '0', '0', '0', '2', '2', '0', '15', '210', '193']
['9', '1', '1', '2', '2', '1', '0', '11', '3', '0', '0', '0', '1', '1', '0', '14', '226', '197']
['9', '1', '0', '2', '3', '2', '1', '11', '3', '0', '0', '1', '1', '1', '0', '14', '227', '123']
['10', '1', '0', '1', '1', '0', '0', '10', '4', '0', '0', '0', '0', '1', '0', '12', '228', '36']
['9', '1', '0', '2', '1', '0', '0', '10', '4', '0', '0', '0', '1', '1', '0', '13', '228', '35']
['9', '2', '0', '2', '3', '0', '1', '12', '4', '0', '0', '0', '1', '2', '0', '13', '227', '35']
['9', '2', '0', '2', '3', '0', '1', '11', '3', '0', '0', '0', '1', '1', '0', '14', '227', '34']
['9', '1', '0', '1', '7', '0', '1', '11', '4', '0', '3', '0', '1', '1', '0', '13', '227', '36']
['9', '1', '0', '3', '5', '0', '0', '11', '4', '0', '0', '0', '1', '1', '0', '14', '227', '33']
['9', '1', '0', '2', '4', '0', '0', '11', '3', '0', '0', '0', '2', '1', '0', '13', '224', '29']
['10', '2', '0', '2', '7', '0', '0', '10', '3', '0', '0', '0', '2', '2', '0', '16', '224', '29']
['10', '2', '0', '1', '6', '0', '0', '10', '4', '0', '0', '0', '2', '2', '0', '15', '223', '30']
['9', '2', '0', '2', '8', '0', '1', '11', '4', '0', '2', '0', '3', '1', '0', '151', '212', '29']
['9', '2', '0', '4', '5', '0', '0', '11', '4', '0', '0', '0', '2', '1', '0', '185', '219', '30']
['9', '2', '0', '3', '5', '0', '0', '11', '3', '0', '0', '0', '2', '3', '0', '211', '213', '32']
['9', '1', '0', '4', '5', '1', '0', '10', '3', '0', '0', '0', '3', '5', '0', '217', '217', '42']
['9', '2', '0', '4', '4', '0', '0', '11', '3', '0', '0', '0', '2', '5', '0', '218', '203', '43']
['9', '2', '0', '4', '5', '0', '0', '11', '4', '0', '0', '0', '2', '4', '0', '216', '153', '32']
['9', '1', '0', '4', '6', '1', '0', '11', '3', '0', '0', '0', '0', '3', '0', '218', '68', '27']
['9', '1', '0', '2', '4', '0', '0', '11', '4', '0', '0', '0', '1', '3', '0', '217', '88', '45']
['8', '1', '0', '1', '3', '0', '0', '11', '3', '1', '0', '0', '1', '3', '0', '189', '81', '41']
['9', '1', '0', '1', '2', '1', '0', '12', '3', '0', '0', '0', '1', '5', '0', '212', '89', '47']
['9', '2', '0', '1', '3', '0', '0', '10', '5', '0', '0', '0', '1', '4', '0', '213', '91', '48']
['9', '1', '1', '4', '3', '0', '0', '11', '3', '0', '0', '0', '1', '5', '0', '212', '91', '47']
['9', '1', '0', '2', '3', '1', '0', '11', '2', '0', '0', '0', '0', '4', '0', '209', '91', '45']
['10', '1', '0', '2', '4', '0', '0', '10', '0', '0', '0', '0', '0', '2', '0', '205', '90', '44']
['9', '1', '1', '0', '3', '0', '0', '10', '0', '0', '0', '0', '1', '0', '0', '205', '91', '44']
['8', '0', '1', '0', '4', '0', '0', '9', '184', '44', '18', '10', '1', '8', '130', '204', '90', '44']
['9', '2', '3', '3', '4', '1', '1', '15', '152', '81', '33', '14', '1', '12', '184', '204', '59', '13']
['8', '3', '2', '3', '5', '0', '1', '13', '171', '103', '19', '2', '1', '14', '190', '181', '41', '9']
['9', '2', '1', '2', '4', '0', '0', '16', '204', '12', '28', '4', '0', '15', '192', '15', '40', '6']
['9', '3', '2', '2', '3', '0', '0', '14', '200', '5', '27', '4', '0', '14', '196', '6', '38', '6']
['9', '1', '0', '1', '4', '1', '1', '15', '193', '8', '27', '3', '1', '14', '195', '8', '39', '7']
['9', '2', '2', '2', '4', '0', '0', '12', '199', '6', '29', '4', '1', '12', '189', '9', '41', '7']
['8', '2', '3', '2', '5', '0', '1', '13', '212', '5', '30', '7', '0', '14', '173', '12', '41', '7']
['8', '2', '1', '2', '4', '0', '0', '13', '213', '8', '31', '5', '0', '14', '176', '12', '41', '7']
['7', '2', '0', '2', '4', '0', '1', '13', '214', '9', '29', '6', '1', '13', '175', '11', '40', '7']
['8', '2', '0', '2', '4', '0', '2', '14', '215', '9', '29', '5', '0', '13', '171', '15', '38', '6']
['8', '2', '0', '2', '4', '0', '2', '8', '217', '14', '29', '4', '0', '4', '175', '14', '41', '6']
['8', '0', '2', '2', '5', '0', '2', '3', '216', '12', '33', '6', '1', '189', '187', '13', '44', '6']
['4', '0', '1', '2', '5', '0', '1', '204', '213', '13', '34', '6', '1', '212', '194', '18', '31', '7']
['4', '0', '1', '2', '4', '0', '2', '208', '207', '12', '34', '5', '1', '203', '159', '16', '11', '8']
['5', '0', '0', '1', '4', '0', '1', '211', '173', '12', '35', '6', '0', '202', '109', '16', '0', '8']
['4', '0', '0', '2', '4', '0', '1', '213', '5', '12', '34', '6', '1', '220', '2', '15', '0', '6']
['4', '1', '0', '2', '4', '0', '2', '214', '7', '12', '32', '5', '1', '222', '6', '15', '0', '7']
['4', '1', '3', '2', '4', '0', '1', '214', '8', '13', '37', '7', '0', '221', '6', '13', '0', '7']
['4', '0', '3', '2', '5', '1', '2', '214', '6', '10', '35', '7', '1', '220', '6', '14', '0', '7']
['4', '1', '3', '2', '4', '0', '0', '215', '7', '11', '34', '5', '1', '219', '6', '14', '0', '8']
['4', '0', '3', '1', '4', '0', '2', '216', '7', '12', '34', '5', '1', '218', '6', '12', '0', '7']
['4', '0', '1', '2', '2', '0', '1', '216', '7', '10', '35', '4', '2', '219', '6', '13', '42', '7']
['4', '2', '1', '2', '3', '0', '1', '216', '8', '11', '35', '5', '2', '221', '7', '13', '0', '7']
['4', '0', '1', '2', '5', '0', '1', '215', '5', '10', '36', '6', '2', '223', '4', '12', '0', '7']
['5', '0', '0', '2', '4', '0', '1', '213', '6', '8', '36', '5', '178', '221', '5', '15', '0', '7']
['3', '3', '2', '2', '5', '0', '149', '194', '7', '9', '29', '5', '213', '220', '7', '15', '0', '7']
['3', '3', '1', '2', '5', '0', '50', '41', '5', '0', '3', '0', '216', '214', '3', '16', '0', '7']
['4', '3', '1', '2', '4', '0', '19', '21', '5', '1', '1', '0', '218', '114', '4', '16', '0', '7']
['7', '0', '2', '2', '4', '0', '14', '3', '6', '0', '2', '0', '221', '4', '4', '16', '0', '8']
['7', '0', '1', '3', '5', '0', '5', '1', '4', '0', '2', '0', '221', '1', '3', '16', '0', '8']
['6', '0', '2', '2', '5', '0', '3', '4', '5', '0', '0', '0', '221', '2', '4', '17', '0', '7']
['6', '2', '3', '2', '5', '0', '6', '5', '6', '1', '0', '0', '221', '2', '4', '17', '0', '7']
['7', '1', '2', '2', '4', '0', '7', '2', '6', '0', '0', '0', '221', '2', '3', '17', '0', '7']
['8', '2', '2', '2', '4', '0', '14', '3', '5', '0', '0', '0', '221', '2', '4', '17', '0', '7']
['6', '1', '2', '2', '5', '0', '20', '5', '6', '0', '3', '1', '220', '1', '4', '16', '0', '8']
['7', '1', '1', '2', '5', '1', '22', '8', '7', '2', '2', '0', '220', '4', '3', '18', '0', '7']
['6', '0', '1', '2', '5', '0', '21', '8', '6', '0', '3', '0', '220', '5', '4', '18', '0', '7']
['5', '1', '2', '2', '4', '0', '31', '6', '6', '2', '3', '0', '221', '2', '5', '16', '0', '7']
['10', '0', '3', '2', '5', '0', '64', '8', '6', '3', '9', '0', '219', '5', '5', '17', '0', '8']
['7', '0', '1', '2', '5', '1', '100', '7', '6', '6', '19', '2', '217', '6', '5', '18', '0', '7']
['7', '0', '1', '2', '5', '1', '146', '8', '5', '10', '23', '4', '180', '4', '3', '18', '0', '7']
['5', '0', '1', '3', '5', '0', '162', '12', '6', '0', '0', '0', '0', '0', '0', '17', '0', '7']
['5', '0', '2', '2', '5', '0', '0', '5', '5', '0', '0', '0', '0', '0', '0', '17', '0', '7']
['4', '0', '2', '2', '4', '0', '1', '5', '5', '0', '0', '0', '0', '0', '0', '17', '0', '7']
['5', '0', '2', '3', '5', '0', '1', '6', '7', '0', '0', '0', '0', '0', '0', '18', '0', '7']
['5', '0', '1', '2', '6', '0', '1', '6', '7', '0', '0', '0', '0', '0', '0', '17', '0', '8']
['5', '0', '1', '2', '4', '0', '1', '4', '5', '0', '0', '0', '0', '0', '0', '17', '0', '6']
['5', '0', '1', '1', '4', '0', '2', '2', '5', '0', '0', '0', '0', '0', '0', '17', '0', '7']
['5', '0', '1', '2', '2', '0', '3', '3', '6', '0', '0', '0', '0', '0', '0', '17', '0', '8']
['4', '0', '1', '2', '4', '0', '3', '2', '6', '0', '0', '0', '0', '0', '0', '18', '0', '7']
['4', '0', '2', '3', '6', '0', '1', '3', '5', '0', '0', '0', '0', '0', '0', '18', '0', '7']
['4', '0', '1', '2', '5', '0', '2', '3', '5', '0', '0', '0', '0', '0', '0', '18', '0', '7']
['4', '0', '1', '2', '5', '1', '2', '4', '5', '0', '0', '0', '0', '0', '0', '17', '0', '7']
['4', '0', '1', '1', '4', '0', '2', '4', '5', '0', '0', '0', '1', '0', '0', '17', '0', '7']
['4', '0', '1', '3', '3', '0', '3', '4', '5', '0', '0', '0', '0', '0', '0', '18', '0', '8']
['4', '0', '2', '3', '6', '0', '3', '3', '5', '0', '0', '0', '0', '0', '0', '18', '0', '8']
['4', '0', '2', '2', '5', '1', '3', '3', '6', '0', '0', '0', '0', '0', '0', '18', '0', '7']
['4', '0', '2', '2', '5', '0', '2', '6', '5', '0', '0', '0', '0', '0', '0', '18', '0', '7']
['3', '0', '2', '2', '5', '0', '2', '7', '5', '0', '0', '0', '0', '0', '0', '17', '0', '7']
['4', '0', '2', '2', '4', '0', '3', '9', '5', '0', '0', '0', '0', '0', '0', '18', '0', '7']
['4', '0', '3', '4', '6', '0', '2', '9', '5', '0', '2', '0', '0', '0', '0', '18', '0', '8']
['4', '0', '2', '2', '7', '1', '2', '11', '5', '0', '0', '0', '0', '0', '0', '19', '0', '7']
['5', '0', '2', '3', '5', '0', '1', '12', '4', '0', '0', '0', '0', '0', '0', '20', '0', '7']
['4', '0', '1', '2', '5', '0', '1', '12', '6', '0', '0', '0', '0', '0', '0', '19', '0', '7']
['4', '0', '1', '2', '4', '0', '1', '11', '6', '0', '0', '0', '0', '0', '1', '20', '0', '6']
['5', '0', '2', '3', '6', '0', '2', '11', '5', '0', '0', '0', '0', '0', '0', '20', '0', '8']
['5', '0', '2', '2', '6', '1', '1', '12', '5', '0', '0', '1', '0', '0', '0', '20', '0', '7']
['6', '0', '2', '2', '4', '0', '3', '12', '5', '0', '0', '0', '0', '0', '0', '19', '0', '7']
['5', '0', '1', '2', '4', '0', '2', '11', '6', '0', '0', '0', '0', '0', '0', '19', '0', '7']
['5', '0', '2', '1', '4', '0', '2', '11', '5', '0', '0', '0', '0', '0', '0', '19', '0', '7']
['5', '0', '1', '2', '6', '0', '2', '11', '6', '0', '0', '0', '0', '0', '0', '19', '0', '8']
['5', '0', '2', '2', '6', '1', '2', '10', '6', '0', '1', '0', '0', '0', '0', '19', '0', '8']
['5', '0', '1', '2', '5', '0', '3', '11', '5', '0', '0', '0', '0', '0', '0', '19', '0', '6']
['5', '0', '1', '2', '5', '0', '2', '11', '5', '0', '0', '0', '0', '0', '0', '19', '0', '7']
['5', '0', '1', '2', '3', '0', '1', '10', '5', '0', '0', '0', '0', '0', '0', '19', '0', '7']
['4', '0', '2', '1', '4', '0', '2', '10', '6', '0', '1', '0', '0', '0', '0', '20', '0', '7']
['5', '0', '2', '3', '7', '0', '2', '11', '6', '0', '0', '0', '0', '0', '0', '20', '0', '8']
['5', '0', '2', '2', '5', '2', '1', '11', '6', '0', '0', '0', '0', '0', '0', '20', '0', '8']
['3', '0', '2', '1', '5', '0', '2', '10', '6', '0', '0', '0', '0', '0', '0', '20', '0', '7']
['4', '0', '2', '1', '4', '0', '1', '11', '6', '0', '0', '0', '0', '0', '0', '20', '0', '7']
